Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,6995,24.5,17.4,2,213,1709,-11.8,76.1,11.9,2.55,5619,6399,6.6,68.3,85700,36066,18664,22.1,265.54,0,932,14586,54.9,4.9,87.6,9,0.6,18.9,13.7,0.5,0.3,0,2,9.7,75.2,65024,4515,1472,18.5,0,0,0,0,0,52.1,849,112094
Not John Kasich,61652,18.3,28.9,246,1084,14490,1.5,80.9,17.4,2.35,23764,28639,10.1,78.4,142200,37188,21141,23,681.03,468885,4398,56053,82.3,2.4,86.5,4,3.4,17.6,0.7,0.4,0.5,0.1,1,2.7,94.9,596983,11208,5512,23.4,0,0,0,0,0,51.3,6571,0
Not John Kasich,2202982,21.5,11.1,6413,18333,396610,3.5,86.4,35.9,2.39,256745,292895,37.2,54.7,167500,47335,28467,23.3,504.03,7347204,60225,626681,1243.3,11.7,79.2,15.5,6.7,18.5,28.1,0.5,3.4,0.1,2.3,9.9,56.9,10581843,17029,64653,26.8,0.6,3.4,11.1,2.9,0.1,51.8,38947,11942568
Not John Kasich,6048,20,22.7,0,208,2984,-1.1,78.8,14.2,2.26,5066,6835,4.1,77.2,83100,36258,25368,26.8,333.85,0,839,11757,35.2,1.6,87.4,1.9,-0.7,22.6,3,0.3,0.6,0.1,1.1,2.9,92.1,98877,8594,980,0,0,0,0,0,0,50.9,1001,0
Not John Kasich,60508,23.4,15.1,202,897,12790,5.6,84.2,14.2,2.65,18647,21076,10.6,73.6,138500,44318,21547,30.5,489.9,876604,3590,49666,101.4,2.1,85.9,3.3,1.9,15.4,4.4,0.5,0.6,0.1,1.8,3.1,90.1,605859,12779,5198,20.6,0,0,2.4,0.6,0,50.8,3865,327900
Not John Kasich,42802,24.1,16.5,56,792,12300,-4.8,83.6,18.1,2.49,15100,16785,13,63.5,99500,38953,21208,18.6,512.33,1646993,2385,38335,74.8,1.8,81.5,2.9,-1,17.8,14.6,0.3,0.6,0,1.6,3.1,80.3,514056,13643,3139,24.4,0,0,0,0,0,51.7,3083,252485
Not John Kasich,12553,20.9,18.7,235,588,6926,6.4,85.7,21.5,2.62,14535,16231,5.5,80.8,175100,56618,28201,32.7,704.79,889776,3202,38413,54.5,2.2,91.5,3.3,1.6,14,27.5,0.3,0.6,0,0.9,2.5,68.4,126612,3402,3779,23,0,0,15.3,0,0,50.5,2956,74398
Not John Kasich,8176,21.9,20,0,239,3474,0.2,72.4,11.1,2.42,7348,8931,5.5,76.5,93300,29192,16454,23.7,498.61,0,1464,17959,36,0.7,86.2,2,-0.6,25.7,0.4,0.3,0.3,0,0.9,1.3,96.9,140548,8075,2235,20.3,0,0,0,0,0,51,1408,0
Not John Kasich,28049,21,19,110,663,10475,7,80,18.4,2.42,16067,18956,7.9,76.6,104800,42904,22398,22.4,554.54,3187056,2565,41052,74,1.6,85.7,2.9,0.9,15.1,5.2,0.4,0.9,0.1,1.8,2.8,89.2,343584,8341,2967,26.9,0,0,0,0,0,51.2,4372,0
Not John Kasich,30831,24.3,17.6,108,917,10941,-4.5,82.7,16.5,2.53,19205,22379,10.3,72.7,87700,38343,20402,24.4,602.74,977402,2809,49683,82.4,1,86.3,2.9,-0.4,18.7,18.6,0.3,0.3,0,1.3,2.5,77.3,438966,9063,3423,24.4,0,0,0,1.4,0,52.3,3849,0
